tWojewodztwo;Powiat;Gmina;Miejscowosc;Dzielnica;ludnosc
KUJAWSKO-POMORSKIE;bydgoski;Koronowo;Koronowo;;10583.0
KUJAWSKO-POMORSKIE;bydgoski;Nowa Wieś Wielka;Nowa Wieś Wielka;;
KUJAWSKO-POMORSKIE;bydgoski;Osielsko;Osielsko;;
KUJAWSKO-POMORSKIE;bydgoski;Sicienko;Sicienko;;
KUJAWSKO-POMORSKIE;bydgoski;Solec Kujawski;Solec Kujawski;;15140.0
KUJAWSKO-POMORSKIE;chełmiński;Chełmno;Chełmno;;17827.0
KUJAWSKO-POMORSKIE;chełmiński;Kijewo Królewskie;Kijewo Królewskie;;
KUJAWSKO-POMORSKIE;chełmiński;Lisewo;Lisewo;;
KUJAWSKO-POMORSKIE;chełmiński;Papowo Biskupie;Papowo Biskupie;;
KUJAWSKO-POMORSKIE;chełmiński;Stolno;Stolno;;
KUJAWSKO-POMORSKIE;chełmiński;Unisław;Unisław;;
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Ciechocin;Ciechocin;;
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Golub-Dobrzyń;Golub-Dobrzyń;;11122.0
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Kowalewo Pomorskie;Kowalewo Pomorskie;;4022.0
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Radomin;Radomin;;
KUJAWSKO-POMORSKIE;golubsko-dobrzyński;Zbójno;Zbójno;;
KUJAWSKO-POMORSKIE;grudziądzki;Gruta;Gruta;;
KUJAWSKO-POMORSKIE;grudziądzki;Radzyń Chełmiński;Radzyń Chełmiński;;1763.0
KUJAWSKO-POMORSKIE;grudziądzki;Rogóźno;Rogóźno;;
KUJAWSKO-POMORSKIE;grudziądzki;Łasin;Łasin;;3004.0
KUJAWSKO-POMORSKIE;grudziądzki;Świecie nad Osą;Świecie nad Osą;;
KUJAWSKO-POMORSKIE;inowrocławski;Dąbrowa Biskupia;Dąbrowa Biskupia;;
KUJAWSKO-POMORSKIE;inowrocławski;Gniewkowo;Gniewkowo;;6621.0
KUJAWSKO-POMORSKIE;inowrocławski;Inowrocław;Inowrocław;;66543.0
KUJAWSKO-POMORSKIE;inowrocławski;Janikowo;Janikowo;;8041.0
KUJAWSKO-POMORSKIE;inowrocławski;Kruszwica;Kruszwica;;8987.0
KUJAWSKO-POMORSKIE;inowrocławski;Pakość;Pakość;;5082.0
KUJAWSKO-POMORSKIE;inowrocławski;Rojewo;Rojewo;;
KUJAWSKO-POMORSKIE;inowrocławski;Złotniki Kujawskie;Złotniki Kujawskie;;
KUJAWSKO-POMORSKIE;lipnowski;Bobrowniki;Bobrowniki;;1139.0
KUJAWSKO-POMORSKIE;lipnowski;Chrostkowo;Chrostkowo;;
KUJAWSKO-POMORSKIE;lipnowski;Dobrzyń nad Wisłą;Dobrzyń nad Wisłą;;1946.0
KUJAWSKO-POMORSKIE;lipnowski;Kikół;Kikół;;2014.0
KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;;13253.0
KUJAWSKO-POMORSKIE;lipnowski;Lipno;Lipno;;13253.0
KUJAWSKO-POMORSKIE;lipnowski;Skępe;Skępe;;3379.0
KUJAWSKO-POMORSKIE;lipnowski;Tłuchowo;Tłuchowo;;
KUJAWSKO-POMORSKIE;lipnowski;Wielgie;Wielgie;;
KUJAWSKO-POMORSKIE;mogileński;Dąbrowa;Dąbrowa;;
KUJAWSKO-POMORSKIE;mogileński;Jeziora Wielkie;Jeziora Wielkie;;
KUJAWSKO-POMORSKIE;mogileński;Mogilno;Mogilno;;10820.0
KUJAWSKO-POMORSKIE;mogileński;Strzelno;Strzelno;;5156.0
